Iteration	Replicate_ID	Posterior	Likelihood	Prior	br_len_lambda	tree_length
393	1	-6696.803	-6735.605	38.80203	23.04276	4.58402
394	0	-6694.83	-6731.241	36.41099	23.13141	4.687811
395	1	-6687.13	-6723.201	36.07088	22.7916	4.702233
396	0	-6709.833	-6738.756	28.92292	20.47922	5.014496
397	1	-6706.537	-6737.382	30.84477	21.05942	4.92948
398	0	-6690.898	-6726.586	35.68727	23.8307	4.715978
399	1	-6697.81	-6729.64	31.82965	24.06558	4.874347
400	0	-6709.524	-6740.91	31.38552	24.59511	4.883152
401	1	-6711.123	-6739.606	28.48335	22.27324	5.040261
402	0	-6694.317	-6729.617	35.30019	23.61467	4.733765
403	1	-6713.092	-6742.054	28.96168	21.49944	5.020773
404	0	-6700.178	-6729.757	29.57891	20.992	4.988995
405	1	-6705.742	-6736.056	30.31367	22.1498	4.958479
406	0	-6683.526	-6714.658	31.13181	18.96811	4.856819
407	1	-6700.839	-6735.567	34.72745	24.02403	4.754375
408	0	-6699.295	-6730.723	31.42805	20.35187	4.8894
409	1	-6708.732	-6741.703	32.97089	20.58166	4.819259
410	0	-6697.208	-6728.263	31.05419	24.46815	4.899168
411	1	-6701.366	-6730.181	28.8151	21.78965	5.0275
412	0	-6699.236	-6724.913	25.67691	21.21744	5.174657
413	1	-6706.442	-6740.288	33.84629	27.37708	4.719036
414	0	-6719.523	-6744.389	24.86651	20.17695	5.210378
415	1	-6703.193	-6731.793	28.5998	23.52989	5.01903
416	0	-6705.778	-6738.333	32.55495	21.92514	4.85657
417	1	-6708.306	-6729.641	21.33467	20.26957	5.385432
418	0	-6699.065	-6732.902	33.83763	25.25627	4.771681
419	1	-6708.119	-6735.232	27.11287	21.65131	5.10628
420	0	-6701.347	-6727.259	25.91285	25.27181	5.084956
421	1	-6700	-6731.163	31.16267	27.02429	4.828322
422	0	-6698.269	-6729.523	31.25415	25.33922	4.871984
423	1	-6695.862	-6730.94	35.07758	21.43588	4.735334
424	0	-6691.391	-6726.268	34.87706	27.23495	4.685263
425	1	-6702.729	-6736.563	33.83392	19.72724	4.750032
426	0	-6703.778	-6736.17	32.3913	19.93775	4.830283
427	1	-6706.162	-6737.258	31.09613	22.54057	4.922009
428	0	-6691.557	-6735.801	44.24379	24.11115	4.358752
429	1	-6715.474	-6742.603	27.12898	18.76855	5.060181
430	0	-6685.953	-6715.766	29.81234	21.43409	4.980953
431	1	-6698.262	-6728.702	30.44038	17.51484	4.801612
432	0	-6693.08	-6726.175	33.09473	26.7553	4.764414
433	1	-6711.386	-6743.034	31.64787	24.09397	4.881442
434	0	-6688.189	-6726.265	38.0764	24.9186	4.607909
435	1	-6714.594	-6746.93	32.33589	24.31738	4.849354
436	0	-6694.309	-6730.226	35.91703	23.3397	4.708756
437	1	-6705.258	-6737.427	32.16916	20.96204	4.865144
438	0	-6696.591	-6733.366	36.7752	22.54398	4.670082
439	1	-6712.281	-6739.153	26.87178	20.56837	5.115482
440	0	-6694.547	-6723.716	29.169	19.14336	4.967345
441	1	-6711.135	-6738.828	27.69291	18.57201	5.021433
