Iteration	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
2060	-4118.053	-4094.465	-23.58789	3.359534	14.27898	0.415296	0.749673	1.08379	1.75124	7.296081
2070	-4118.504	-4100.378	-18.12643	2.407618	14.89498	0.337519	0.692369	1.0775	1.89261	6.939827
2080	-4121.13	-4097.455	-23.67483	2.210381	14.83846	0.317158	0.67567	1.07446	1.93271	7.31199
2090	-4119.195	-4103.976	-15.21958	2.893702	17.6889	0.380868	0.725467	1.08194	1.81173	6.745989
2100	-4127.397	-4109.628	-17.76932	3.409237	14.72171	0.418637	0.751934	1.08391	1.74552	6.909789
2110	-4098.319	-4092.619	-5.699319	3.592216	17.09569	0.430454	0.759811	1.08421	1.72553	6.204661
2120	-4088.2	-4092.156	3.95685	3.398966	19.88401	0.417951	0.751471	1.08388	1.74669	5.679551
2130	-4101.849	-4093.772	-8.07725	2.644333	17.26397	0.359727	0.709718	1.08009	1.85046	6.344086
2140	-4107.12	-4102.376	-4.743714	3.266612	17.31432	0.408891	0.745297	1.08355	1.76226	6.151531
2150	-4124.273	-4110.484	-13.78927	2.808782	15.93893	0.373906	0.720359	1.08139	1.82434	6.680328
2160	-4111.464	-4107.077	-4.387375	2.840899	15.44704	0.376566	0.72232	1.08161	1.8195	6.061455
2170	-4111.014	-4104.309	-6.704387	4.279151	16.03251	0.469069	0.784341	1.08426	1.66233	6.239521
2180	-4098.066	-4094.778	-3.287106	3.907085	15.6074	0.449184	0.771933	1.0844	1.69448	6.001399
2190	-4105.435	-4096.692	-8.743218	3.626258	15.86931	0.432573	0.761205	1.08425	1.72198	6.361366
2200	-4111.056	-4100.898	-10.15784	3.262067	18.29947	0.408572	0.745078	1.08354	1.76281	6.447175
2210	-4116.157	-4100.606	-15.55129	2.951154	17.20708	0.385447	0.728787	1.08226	1.8035	6.778404
2220	-4127.821	-4111.217	-16.60436	3.625123	17.03459	0.432503	0.761159	1.08424	1.72209	6.844053
2230	-4106.351	-4095.138	-11.21242	3.500509	15.65457	0.424623	0.755948	1.08408	1.73535	6.510758
2240	-4093.305	-4085.895	-7.410105	3.048686	16.76522	0.392994	0.734188	1.08275	1.79007	6.301384
2250	-4112.752	-4100.979	-11.77311	2.582721	15.79596	0.354162	0.70545	1.07951	1.86088	6.550507
2260	-4116.347	-4100.951	-15.3957	3.41367	14.84419	0.418932	0.752133	1.08391	1.74502	6.754294
2270	-4123.181	-4105.949	-17.23242	2.678447	15.47693	0.362748	0.712012	1.08039	1.84485	6.893424
2280	-4133.999	-4114.127	-19.87214	2.414335	14.44098	0.338181	0.692899	1.07759	1.89133	7.042961
2290	-4118.161	-4096.939	-21.22209	2.721788	15.47115	0.366524	0.71486	1.08075	1.83787	7.151224
2300	-4122.333	-4097.645	-24.68824	2.298258	13.05281	0.326455	0.683394	1.07593	1.91422	7.307274
2310	-4117.429	-4096.111	-21.31867	2.53532	13.97854	0.34978	0.702053	1.07902	1.86915	7.122954
2320	-4118.03	-4101.58	-16.44969	2.467044	16.27426	0.34331	0.696976	1.07824	1.88147	6.846598
2330	-4120.029	-4102.726	-17.30272	3.525785	14.10893	0.426248	0.757029	1.08412	1.73261	6.845
2340	-4102.444	-4090.89	-11.55384	3.335083	16.08795	0.413631	0.748541	1.08374	1.75409	6.54301
2350	-4113.347	-4098.995	-14.35255	2.875725	15.15904	0.379413	0.724406	1.08183	1.81435	6.697496
2360	-4092.989	-4082.56	-10.42905	4.187136	16.79694	0.464356	0.781442	1.08433	1.66987	6.481555
2370	-4104.361	-4098.186	-6.175023	2.877431	16.43888	0.379552	0.724508	1.08184	1.8141	6.220194
2380	-4107.845	-4096.619	-11.22671	2.797183	17.81175	0.372937	0.719642	1.08131	1.82611	6.517819
2390	-4111.535	-4096.504	-15.03112	2.887702	16.73738	0.380383	0.725114	1.0819	1.8126	6.756307
2400	-4114.523	-4103.143	-11.37909	3.808138	18.08323	0.443501	0.768302	1.08438	1.70382	6.519916
2410	-4105.658	-4092.089	-13.56895	2.71242	16.67416	0.365713	0.71425	1.08067	1.83936	6.669345
